// 现代汉语语料库词语分词类频率表,,,,,,
// 语料规模:2000万字,,,,,,
// 只列入出现次数大于50次的词,,,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,,,
// id,词语,词类标记,词类名称,出现次数,频率,累积频率
6677,搞活,v,动词,165,0.0017,85.05500000000164
6678,平日,nt,时间名词,165,0.0017,85.07880000000164
6679,中,v,动词,165,0.0017,85.06350000000164
6680,咋,r,代词,165,0.0017,85.08390000000163
6681,径,n,名词,165,0.0017,85.06690000000164
6682,相对论,n,名词,165,0.0017,85.06010000000164
6683,营长,n,名词,165,0.0017,85.05840000000164
6684,缠,v,动词,165,0.0017,85.05670000000164
6685,术语,n,名词,165,0.0017,85.06180000000164
6686,邻,n,名词,165,0.0017,85.06860000000164
6687,片刻,nt,时间名词,165,0.0017,85.07030000000164
6688,行驶,v,动词,165,0.0017,85.08050000000163
6689,负担,n,名词,165,0.0017,85.07200000000164
6690,昨晚,nt,时间名词,165,0.0017,85.06520000000164
6691,整,v,动词,165,0.0017,85.07370000000164
6692,公,a,形容词,165,0.0017,85.07540000000164
6693,本身,r,代词,164,0.0017,85.15020000000162
6694,据,v,动词,164,0.0017,85.14680000000162
6695,队里,nl,处所名词,164,0.0017,85.15360000000162
6696,沸腾,v,动词,164,0.0017,85.15530000000162
6697,齿,n,名词,164,0.0017,85.15700000000162
6698,伴,v,动词,164,0.0017,85.15870000000162
6699,玉,n,名词,164,0.0017,85.16040000000162
6700,街头,n,名词,164,0.0017,85.16210000000162
6701,耗,v,动词,164,0.0017,85.16550000000161
6702,致病,v,动词,164,0.0017,85.17910000000161
6703,骆驼,n,名词,164,0.0017,85.17740000000161
6704,速率,n,名词,164,0.0017,85.17570000000161
6705,吃完,v,动词,164,0.0017,85.17400000000161
6706,次要,a,形容词,164,0.0017,85.17230000000161
6707,板块,n,名词,164,0.0017,85.17060000000161
6708,同事,n,名词,164,0.0017,85.16890000000161
6709,加拿大,ns,地名,164,0.0017,85.16380000000161
6710,重,n,名词,164,0.0017,85.16720000000161
6711,天然气,n,名词,164,0.0017,85.14170000000162
6712,蛋白,n,名词,164,0.0017,85.15190000000162
6713,一片,n,名词,164,0.0017,85.14850000000162
6714,眨,v,动词,164,0.0017,85.12130000000163
6715,清洁,a,形容词,164,0.0017,85.12640000000162
6716,食堂,n,名词,164,0.0017,85.11960000000163
6717,珠,n,名词,164,0.0017,85.11790000000163
6718,代表性,n,名词,164,0.0017,85.11620000000163
6719,信用,n,名词,164,0.0017,85.11450000000163
6720,尽力,v,动词,164,0.0017,85.11280000000163
6721,长达,v,动词,164,0.0017,85.12300000000162
6722,灰尘,n,名词,164,0.0017,85.12810000000162
6723,遂,d,副词,164,0.0017,85.12980000000162
6724,农副产品,j,缩略语,164,0.0017,85.13150000000162
6725,反馈,v,动词,164,0.0017,85.13320000000162
6726,副业,n,名词,164,0.0017,85.13490000000162
6727,捞,v,动词,164,0.0017,85.13660000000162
6728,鄂温克,ns,地名,164,0.0017,85.13830000000162
6729,征,v,动词,164,0.0017,85.14510000000162
6730,上游,n,名词,164,0.0017,85.14000000000162
6731,安定,a,形容词,164,0.0017,85.12470000000162
6732,情趣,n,名词,164,0.0017,85.14340000000162
6733,逝世,v,动词,163,0.0017,85.2165000000016
6734,凶,a,形容词,163,0.0017,85.2148000000016
6735,灶,n,名词,163,0.0017,85.2114000000016
6736,智,n,名词,163,0.0017,85.2318000000016
6737,针灸,n,名词,163,0.0017,85.2046000000016
6738,降落,v,动词,163,0.0017,85.2080000000016
6739,证明,n,名词,163,0.0017,85.2131000000016
6740,使用价值,n,名词,163,0.0017,85.2182000000016
6741,秧,n,名词,163,0.0017,85.2199000000016
6742,响声,n,名词,163,0.0017,85.2216000000016
6743,事变,n,名词,163,0.0017,85.2233000000016
6744,训,v,动词,163,0.0017,85.2250000000016
6745,司令部,n,名词,163,0.0017,85.2267000000016
6746,拳,n,名词,163,0.0017,85.2284000000016
6747,寡妇,n,名词,163,0.0017,85.2301000000016
6748,招待,v,动词,163,0.0017,85.2097000000016
6749,历代,nt,时间名词,163,0.0017,85.1995000000016
6750,太空,n,名词,163,0.0017,85.19270000000161
6751,区长,n,名词,163,0.0017,85.18420000000161
6752,好转,v,动词,163,0.0017,85.18590000000161
6753,病理,n,名词,163,0.0017,85.18760000000161
6754,运转,v,动词,163,0.0017,85.18930000000161
6755,传染病,n,名词,163,0.0017,85.19100000000161
6756,闲,a,形容词,163,0.0017,85.18250000000161
6757,地域,n,名词,163,0.0017,85.19440000000161
6758,出发点,n,名词,163,0.0017,85.1961000000016
6759,骗,v,动词,163,0.0017,85.1978000000016
6760,借款,v,动词,163,0.0017,85.2063000000016
6761,汪精卫,nh,人名,163,0.0017,85.2012000000016
6762,鲜花,n,名词,163,0.0017,85.18080000000161
6763,行列,n,名词,163,0.0017,85.2029000000016
6764,团员,n,名词,162,0.0017,85.26240000000159
6765,没收,v,动词,162,0.0017,85.25900000000159
6766,语气,n,名词,162,0.0017,85.26580000000159
6767,农村经济,n,名词,162,0.0017,85.26750000000159
6768,树种,n,名词,162,0.0017,85.26920000000159
6769,成都,ns,地名,162,0.0017,85.27090000000159
6770,差,v,动词,162,0.0017,85.28280000000159
6771,生态系统,n,名词,162,0.0017,85.27260000000159
6772,惟,d,副词,162,0.0017,85.27430000000159
6773,奶,n,名词,162,0.0017,85.27600000000159
6774,生,n,名词,162,0.0017,85.27770000000159
6775,病变,v,动词,162,0.0017,85.27940000000159
6776,腹部,n,名词,162,0.0017,85.28110000000159
6777,胎,n,名词,162,0.0017,85.25560000000159
6778,座,n,名词,162,0.0017,85.26410000000159
6779,阻,v,动词,162,0.0017,85.26070000000159
6780,同胞,n,名词,162,0.0017,85.2352000000016
6781,桶,n,名词,162,0.0017,85.2369000000016
6782,阴,n,名词,162,0.0017,85.2386000000016
6783,风雨,n,名词,162,0.0017,85.2403000000016
6784,治安,n,名词,162,0.0017,85.2420000000016
6785,苦,n,名词,162,0.0017,85.2437000000016
6786,架子,n,名词,162,0.0017,85.2335000000016
6787,言论,n,名词,162,0.0017,85.2454000000016
6788,猛地,d,副词,162,0.0017,85.2471000000016
6789,河边,nl,处所名词,162,0.0017,85.2488000000016
6790,撤销,v,动词,162,0.0017,85.2505000000016
6791,再生,v,动词,162,0.0017,85.2522000000016
6792,江,n,名词,162,0.0017,85.25730000000159
6793,介质,n,名词,162,0.0017,85.2539000000016
6794,掌声,n,名词,161,0.0017,85.31340000000158
6795,空军,n,名词,161,0.0017,85.33210000000157
6796,零件,n,名词,161,0.0017,85.31510000000158
6797,客观世界,n,名词,161,0.0017,85.30830000000158
6798,规矩,n,名词,161,0.0017,85.31680000000158
6799,探,v,动词,161,0.0017,85.31850000000158
6800,推销,v,动词,161,0.0017,85.32020000000158
6801,大小,a,形容词,161,0.0017,85.32190000000158
6802,师生,n,名词,161,0.0017,85.32360000000158
6803,盈利,n,名词,161,0.0017,85.32530000000158
6804,坚硬,a,形容词,161,0.0017,85.32700000000158
6805,热心,a,形容词,161,0.0017,85.32870000000158
6806,谈话,v,动词,161,0.0017,85.33040000000157
6807,一共,d,副词,161,0.0017,85.30490000000158
6808,行李,n,名词,161,0.0017,85.31000000000158
6809,南极,n,名词,161,0.0017,85.31170000000158
6810,满,v,动词,161,0.0017,85.28790000000158
6811,做为,v,动词,161,0.0017,85.28960000000158
6812,评为,v,动词,161,0.0017,85.29130000000158
6813,回过头,v,动词,161,0.0017,85.29300000000158
6814,深厚,a,形容词,161,0.0017,85.29470000000158
6815,现代化,n,名词,161,0.0017,85.29640000000158
6816,侧面,nd,方位名词,161,0.0017,85.29810000000158
6817,鲜血,n,名词,161,0.0017,85.30660000000158
6818,汪,nhf,人名-姓,161,0.0017,85.30150000000158
6819,优先,v,动词,161,0.0017,85.28450000000159
6820,献身,v,动词,161,0.0017,85.30320000000158
6821,由得,v,动词,161,0.0017,85.29980000000158
6822,脊,n,名词,161,0.0017,85.28620000000159
6823,大厅,n,名词,160,0.0017,85.36780000000157
6824,电池,n,名词,160,0.0017,85.36440000000157
6825,多种,m,数词,160,0.0017,85.38480000000156
6826,西瓜,n,名词,160,0.0017,85.36610000000157
6827,毛巾,n,名词,160,0.0017,85.35930000000157
6828,作用于,v,动词,160,0.0017,85.36950000000157
6829,证,v,动词,160,0.0017,85.37120000000156
6830,借助于,v,动词,160,0.0017,85.37290000000156
6831,伤员,n,名词,160,0.0017,85.37460000000156
6832,唇,n,名词,160,0.0017,85.37630000000156
6833,好久,a,形容词,160,0.0017,85.37800000000156
6834,何,nhf,人名-姓,160,0.0017,85.37970000000156
6835,安徽,ns,地名,160,0.0017,85.38140000000156
6836,鸽子,n,名词,160,0.0017,85.38310000000156
6837,淀粉,n,名词,160,0.0017,85.35590000000157
6838,腐蚀,v,动词,160,0.0017,85.36270000000157
6839,党性,n,名词,160,0.0017,85.36100000000157
6840,充当,v,动词,160,0.0017,85.33720000000157
6841,温和,a,形容词,160,0.0017,85.33890000000157
6842,凝聚,v,动词,160,0.0017,85.34060000000157
6843,停住,v,动词,160,0.0017,85.34230000000157
6844,贝,n,名词,160,0.0017,85.34400000000157
6845,时空,n,名词,160,0.0017,85.33550000000157
6846,专业化,v,动词,160,0.0017,85.34570000000157
6847,俗,a,形容词,160,0.0017,85.34740000000157
6848,氯气,n,名词,160,0.0017,85.34910000000157
6849,流入,v,动词,160,0.0017,85.35080000000157
6850,喇叭,n,名词,160,0.0017,85.35250000000157
6851,指令,n,名词,160,0.0017,85.35760000000157
6852,先是,c,连词,160,0.0017,85.35420000000157
6853,一说,v,动词,160,0.0017,85.33380000000157
6854,永恒,a,形容词,159,0.0017,85.41200000000156
6855,俄,j,缩略语,159,0.0017,85.41030000000156
6856,溶剂,n,名词,159,0.0017,85.41370000000155
6857,密集,v,动词,159,0.0017,85.41540000000155
6858,客厅,n,名词,159,0.0017,85.41710000000155
6859,复,a,形容词,159,0.0017,85.41880000000155
6860,担子,n,名词,159,0.0017,85.42900000000155
6861,炮弹,n,名词,159,0.0017,85.42050000000155
6862,指责,v,动词,159,0.0017,85.42220000000155
6863,榜样,n,名词,159,0.0017,85.42390000000155
6864,橡胶,n,名词,159,0.0017,85.40690000000156
6865,往后,nt,时间名词,159,0.0017,85.42730000000155
6866,购买力,n,名词,159,0.0017,85.43070000000155
6867,抖,v,动词,159,0.0017,85.42560000000155
6868,线条,n,名词,159,0.0017,85.38820000000156
6869,眉,n,名词,159,0.0017,85.38990000000156
6870,机场,n,名词,159,0.0017,85.39160000000156
6871,后方,nd,方位名词,159,0.0017,85.39330000000156
6872,强弱,n,名词,159,0.0017,85.39500000000156
6873,赚,v,动词,159,0.0017,85.38650000000156
6874,体会,n,名词,159,0.0017,85.39670000000156
6875,脚步声,n,名词,159,0.0017,85.39840000000156
6876,幻觉,n,名词,159,0.0017,85.40010000000156
6877,公,n,名词,159,0.0017,85.40180000000156
6878,往前,d,副词,159,0.0017,85.40350000000156
6879,两千,m,数词,159,0.0017,85.40520000000156
6880,留给,v,动词,159,0.0017,85.40860000000156
6881,树干,n,名词,158,0.0017,85.45960000000154
6882,沉着,a,形容词,158,0.0017,85.45620000000154
6883,有事,v,动词,158,0.0017,85.47320000000154
6884,国营企业,n,名词,158,0.0017,85.45790000000154
6885,产地,n,名词,158,0.0017,85.45280000000155
6886,顶,d,副词,158,0.0017,85.46130000000154
6887,挣,v,动词,158,0.0017,85.46300000000154
6888,水量,n,名词,158,0.0017,85.46470000000154
6889,桥梁,n,名词,158,0.0017,85.46640000000154
6890,女孩,n,名词,158,0.0017,85.46810000000154
6891,参谋长,n,名词,158,0.0017,85.46980000000154
6892,寄托,v,动词,158,0.0017,85.47150000000154
6893,动量,n,名词,158,0.0017,85.44940000000155
6894,艰巨,a,形容词,158,0.0017,85.44770000000155
6895,玩具,n,名词,158,0.0017,85.45450000000154
6896,开水,n,名词,158,0.0017,85.43410000000155
6897,容纳,v,动词,158,0.0017,85.43580000000155
6898,可谓,v,动词,158,0.0017,85.43750000000155
6899,弃,v,动词,158,0.0017,85.43920000000155
6900,压,n,名词,158,0.0017,85.44090000000155
6901,儒家,n,名词,158,0.0017,85.44260000000155
6902,限,v,动词,158,0.0017,85.44430000000155
6903,隐,v,动词,158,0.0017,85.45110000000155
6904,吾,r,代词,158,0.0017,85.44600000000155
6905,温度计,n,名词,158,0.0017,85.43240000000155
6906,跳下,v,动词,157,0.0016,85.51960000000143
6907,墨,n,名词,157,0.0016,85.50360000000147
6908,有毒,v,动词,157,0.0016,85.49880000000148
6909,进屋,v,动词,157,0.0016,85.50520000000147
6910,决,v,动词,157,0.0016,85.50680000000146
6911,霜,n,名词,157,0.0016,85.50840000000146
6912,拾,v,动词,157,0.0016,85.51000000000145
6913,钩,n,名词,157,0.0016,85.51160000000145
6914,现行,a,形容词,157,0.0016,85.52440000000142
6915,气团,n,名词,157,0.0016,85.51320000000145
6916,闭合,v,动词,157,0.0016,85.51480000000144
6917,因为,p,介词,157,0.0016,85.51800000000144
6918,有钱,v,动词,157,0.0016,85.52120000000143
6919,下达,v,动词,157,0.0016,85.52280000000142
6920,相连,v,动词,157,0.0016,85.51640000000144
6921,瞒,v,动词,157,0.0016,85.50200000000147
6922,埋怨,v,动词,157,0.0016,85.49560000000149
6923,安置,v,动词,157,0.0016,85.47640000000153
6924,艰苦奋斗,i,习用语,157,0.0016,85.47800000000153
6925,录,v,动词,157,0.0016,85.49400000000149
6926,子宫,n,名词,157,0.0016,85.47960000000153
6927,放开,v,动词,157,0.0016,85.50040000000148
6928,惯,v,动词,157,0.0016,85.48120000000152
6929,部署,v,动词,157,0.0016,85.48280000000152
6930,起身,v,动词,157,0.0016,85.48440000000151
6931,鼓,n,名词,157,0.0016,85.47480000000154
6932,匀速,v,动词,157,0.0016,85.48600000000151
6933,汉子,n,名词,157,0.0016,85.4876000000015
6934,要不是,c,连词,157,0.0016,85.4892000000015
6935,辉煌,a,形容词,157,0.0016,85.4908000000015
6936,码,n,名词,157,0.0016,85.49720000000148
6937,串联,v,动词,157,0.0016,85.4924000000015
6938,称作,v,动词,156,0.0016,85.55480000000135
6939,依附,v,动词,156,0.0016,85.56440000000133
6940,监狱,n,名词,156,0.0016,85.55640000000135
6941,一下,q,量词,156,0.0016,85.55000000000136
6942,势必,d,副词,156,0.0016,85.55800000000134
6943,活性,a,形容词,156,0.0016,85.55960000000134
6944,灿烂,a,形容词,156,0.0016,85.56120000000134
6945,掏,v,动词,156,0.0016,85.56760000000132
6946,尽,d,副词,156,0.0016,85.5740000000013
6947,漏,v,动词,156,0.0016,85.57240000000131
6948,期限,nt,时间名词,156,0.0016,85.57080000000131
6949,普通话,n,名词,156,0.0016,85.56920000000132
6950,急性,a,形容词,156,0.0016,85.56280000000133
6951,破裂,v,动词,156,0.0016,85.56600000000132
6952,新娘,n,名词,156,0.0016,85.54520000000137
6953,老头子,n,名词,156,0.0016,85.55320000000135
6954,上方,nd,方位名词,156,0.0016,85.55160000000136
6955,壮大,v,动词,156,0.0016,85.52760000000141
6956,心事,n,名词,156,0.0016,85.52920000000141
6957,相邻,v,动词,156,0.0016,85.5308000000014
6958,报复,v,动词,156,0.0016,85.5324000000014
6959,贺龙,nh,人名,156,0.0016,85.5340000000014
6960,负,f,区别词,156,0.0016,85.5356000000014
6961,跌,v,动词,156,0.0016,85.53720000000139
6962,相通,v,动词,156,0.0016,85.53880000000139
6963,承,v,动词,156,0.0016,85.54840000000137
6964,搬到,v,动词,156,0.0016,85.54200000000138
6965,外资,n,名词,156,0.0016,85.52600000000142
6966,行走,v,动词,156,0.0016,85.54360000000138
6967,低级,a,形容词,156,0.0016,85.54040000000138
6968,自然环境,n,名词,156,0.0016,85.54680000000137
6969,贷款,n,名词,155,0.0016,85.60440000000123
6970,秦始皇,nh,人名,155,0.0016,85.60120000000124
6971,流氓,n,名词,155,0.0016,85.60600000000123
6972,技艺,n,名词,155,0.0016,85.60760000000123
6973,叫道,v,动词,155,0.0016,85.60920000000122
6974,以来,vd,趋向动词,155,0.0016,85.61080000000122
6975,新陈代谢,i,习用语,155,0.0016,85.61240000000122
6976,桩,n,名词,155,0.0016,85.61400000000121
6977,册,q,量词,155,0.0016,85.6188000000012
6978,太阳光,n,名词,155,0.0016,85.62840000000118
6979,演讲,v,动词,155,0.0016,85.62680000000118
6980,议员,n,名词,155,0.0016,85.62520000000119
6981,流露,v,动词,155,0.0016,85.62360000000119
6982,醒来,v,动词,155,0.0016,85.6220000000012
6983,正要,vu,能愿动词,155,0.0016,85.61560000000121
6984,地板,n,名词,155,0.0016,85.6204000000012
6985,奇特,a,形容词,155,0.0016,85.6172000000012
6986,当着,v,动词,155,0.0016,85.5772000000013
6987,标,n,名词,155,0.0016,85.58680000000128
6988,党组织,n,名词,155,0.0016,85.5788000000013
6989,飞船,n,名词,155,0.0016,85.58040000000129
6990,保守,a,形容词,155,0.0016,85.58200000000129
6991,水滴,n,名词,155,0.0016,85.58360000000128
6992,试图,v,动词,155,0.0016,85.58520000000128
6993,魂,n,名词,155,0.0016,85.59000000000127
6994,日前,nt,时间名词,155,0.0016,85.58840000000127
6995,联营,v,动词,155,0.0016,85.60280000000124
6996,苦恼,a,形容词,155,0.0016,85.59160000000126
6997,敬,v,动词,155,0.0016,85.59320000000126
6998,购,v,动词,155,0.0016,85.59480000000126
6999,千方百计,i,习用语,155,0.0016,85.59640000000125
7000,雕刻,v,动词,155,0.0016,85.59960000000125
7001,舒适,a,形容词,155,0.0016,85.59800000000125
7002,石灰,n,名词,155,0.0016,85.5756000000013
7003,推测,v,动词,154,0.0016,85.65880000000111
7004,保证,n,名词,154,0.0016,85.6620000000011
7005,难怪,d,副词,154,0.0016,85.65720000000111
7006,开,vd,趋向动词,154,0.0016,85.67320000000107
7007,概率,n,名词,154,0.0016,85.6604000000011
7008,始,v,动词,154,0.0016,85.65240000000112
7009,印刷,v,动词,154,0.0016,85.6636000000011
7010,验证,v,动词,154,0.0016,85.6652000000011
7011,语文,n,名词,154,0.0016,85.66680000000109
7012,移植,v,动词,154,0.0016,85.66840000000109
7013,中世纪,nt,时间名词,154,0.0016,85.67000000000108
7014,判定,v,动词,154,0.0016,85.64920000000113
7015,孤独,a,形容词,154,0.0016,85.67160000000108
7016,不妨,d,副词,154,0.0016,85.65400000000112
7017,追逐,v,动词,154,0.0016,85.65560000000112
7018,大队长,n,名词,154,0.0016,85.64760000000113
7019,炕,n,名词,154,0.0016,85.63000000000117
7020,推荐,v,动词,154,0.0016,85.63960000000115
7021,摹仿,v,动词,154,0.0016,85.63480000000116
7022,示威,v,动词,154,0.0016,85.63640000000116
7023,他家,n,名词,154,0.0016,85.63800000000116
7024,田地,n,名词,154,0.0016,85.63320000000117
7025,归结,v,动词,154,0.0016,85.64120000000115
7026,拿到,v,动词,154,0.0016,85.64280000000115
7027,个体经济,n,名词,154,0.0016,85.64440000000114
7028,海域,n,名词,154,0.0016,85.65080000000113
7029,欧美,j,缩略语,154,0.0016,85.64600000000114
7030,大炮,n,名词,154,0.0016,85.63160000000117
7031,多边形,n,名词,153,0.0016,85.703600000001
7032,帝,n,名词,153,0.0016,85.71320000000098
7033,换上,v,动词,153,0.0016,85.705200000001
7034,锦标赛,n,名词,153,0.0016,85.69880000000101
7035,颌,n,名词,153,0.0016,85.706800000001
7036,秘书长,n,名词,153,0.0016,85.70840000000099
7037,砂,n,名词,153,0.0016,85.71000000000099
7038,散射,v,动词,153,0.0016,85.71640000000097
7039,箭,n,名词,153,0.0016,85.72280000000096
7040,不致,v,动词,153,0.0016,85.72120000000096
7041,头,a,形容词,153,0.0016,85.71960000000097
7042,贼,n,名词,153,0.0016,85.71800000000097
7043,语句,n,名词,153,0.0016,85.71160000000098
7044,照相机,n,名词,153,0.0016,85.71480000000098
7045,南斯拉夫,ns,地名,153,0.0016,85.70200000000101
7046,次,a,形容词,153,0.0016,85.69560000000102
7047,出身,n,名词,153,0.0016,85.67800000000106
7048,姓名,n,名词,153,0.0016,85.67480000000107
7049,倾,v,动词,153,0.0016,85.67640000000107
7050,心目中,nl,处所名词,153,0.0016,85.67960000000106
7051,主观,a,形容词,153,0.0016,85.68120000000106
7052,激励,v,动词,153,0.0016,85.69400000000103
7053,洒,v,动词,153,0.0016,85.68440000000105
7054,贸易,n,名词,153,0.0016,85.70040000000101
7055,真诚,a,形容词,153,0.0016,85.68600000000104
7056,前边,nd,方位名词,153,0.0016,85.68760000000104
7057,苍白,a,形容词,153,0.0016,85.68920000000104
7058,紧接着,v,动词,153,0.0016,85.69080000000103
7059,辨,v,动词,153,0.0016,85.69720000000102
7060,不小,a,形容词,153,0.0016,85.69240000000103
7061,价钱,n,名词,153,0.0016,85.68280000000105
7062,互助组,n,名词,152,0.0016,85.75800000000088
7063,中医,n,名词,152,0.0016,85.75960000000087
7064,纵,a,形容词,152,0.0016,85.77080000000085
7065,侵占,v,动词,152,0.0016,85.76120000000087
7066,石块,n,名词,152,0.0016,85.75320000000089
7067,首要,a,形容词,152,0.0016,85.76280000000087
7068,自称,v,动词,152,0.0016,85.76440000000086
7069,户,q,量词,152,0.0016,85.76600000000086
7070,职,n,名词,152,0.0016,85.76760000000085
7071,赞美,v,动词,152,0.0016,85.77400000000084
7072,回顾,v,动词,152,0.0016,85.78360000000082
7073,并用,v,动词,152,0.0016,85.78200000000082
7074,囊,n,名词,152,0.0016,85.78040000000082
7075,好比,v,动词,152,0.0016,85.77880000000083
7076,座位,n,名词,152,0.0016,85.77720000000083
7077,大楼,n,名词,152,0.0016,85.77560000000084
7078,凭借,v,动词,152,0.0016,85.76920000000085
7079,联络,v,动词,152,0.0016,85.77240000000084
7080,多,v,动词,152,0.0016,85.75640000000088
7081,撤,v,动词,152,0.0016,85.7452000000009
7082,话题,n,名词,152,0.0016,85.7484000000009
7083,小事,n,名词,152,0.0016,85.73560000000093
7084,人民民主专政,n,名词,152,0.0016,85.75480000000088
7085,倾斜,v,动词,152,0.0016,85.72760000000095
7086,给以,v,动词,152,0.0016,85.72920000000094
7087,不尽,a,形容词,152,0.0016,85.73080000000094
7088,易于,v,动词,152,0.0016,85.73240000000094
7089,休眠,v,动词,152,0.0016,85.73400000000093
7090,微米,q,量词,152,0.0016,85.72440000000095
7091,出国,v,动词,152,0.0016,85.73720000000093
7092,摇摇头,v,动词,152,0.0016,85.73880000000092
7093,温,n,名词,152,0.0016,85.74040000000092
7094,展出,v,动词,152,0.0016,85.74200000000091
7095,可笑,a,形容词,152,0.0016,85.74360000000091
7096,军舰,n,名词,152,0.0016,85.75160000000089
7097,后悔,v,动词,152,0.0016,85.7468000000009
7098,礼貌,n,名词,152,0.0016,85.72600000000095
7099,悲惨,a,形容词,152,0.0016,85.7500000000009
7100,酋长,n,名词,151,0.0016,85.8364000000007
7101,脓,n,名词,151,0.0016,85.82360000000072
7102,兔子,n,名词,151,0.0016,85.81880000000073
7103,头顶,nl,处所名词,151,0.0016,85.82520000000072
7104,偏,d,副词,151,0.0016,85.82680000000072
7105,逃避,v,动词,151,0.0016,85.82840000000071
7106,羊毛,n,名词,151,0.0016,85.83000000000071
7107,备,v,动词,151,0.0016,85.8316000000007
7108,素材,n,名词,151,0.0016,85.8332000000007
7109,立方米,q,量词,151,0.0016,85.83800000000069
7110,市区,n,名词,151,0.0016,85.84920000000066
7111,阔,a,形容词,151,0.0016,85.84760000000067
7112,幽默,a,形容词,151,0.0016,85.84600000000067
7113,技术革命,v,动词,151,0.0016,85.78680000000081
7114,茧,n,名词,151,0.0016,85.84440000000068
7115,体质,n,名词,151,0.0016,85.82200000000073
7116,常规,n,名词,151,0.0016,85.84280000000068
7117,计划经济,n,名词,151,0.0016,85.8348000000007
7118,山下,nl,处所名词,151,0.0016,85.84120000000068
7119,访,v,动词,151,0.0016,85.83960000000069
7120,胎儿,n,名词,151,0.0016,85.82040000000073
7121,地步,n,名词,151,0.0016,85.79640000000079
7122,赔偿,v,动词,151,0.0016,85.79960000000078
7123,喜剧,n,名词,151,0.0016,85.7884000000008
7124,紫色,n,名词,151,0.0016,85.7900000000008
7125,支,v,动词,151,0.0016,85.7916000000008
7126,野蛮,a,形容词,151,0.0016,85.79480000000079
7127,泉,n,名词,151,0.0016,85.79800000000078
7128,正面,nd,方位名词,151,0.0016,85.78520000000081
7129,舍不得,v,动词,151,0.0016,85.80120000000078
7130,出,q,量词,151,0.0016,85.80280000000077
7131,云,v,动词,151,0.0016,85.80440000000077
7132,诚恳,a,形容词,151,0.0016,85.80600000000076
7133,伤口,n,名词,151,0.0016,85.80760000000076
7134,债务,n,名词,151,0.0016,85.80920000000076
7135,称号,n,名词,151,0.0016,85.81080000000075
7136,杏仙,nhs,人名-名,151,0.0016,85.81240000000075
7137,动力学,n,名词,151,0.0016,85.81400000000075
7138,激,v,动词,151,0.0016,85.81720000000074
7139,打下,v,动词,151,0.0016,85.81560000000074
7140,勾结,v,动词,151,0.0016,85.7932000000008
7141,原始社会,n,名词,150,0.0016,85.8780000000006
7142,花色,n,名词,150,0.0016,85.8796000000006
7143,洞里,nl,处所名词,150,0.0016,85.89720000000055
7144,隐藏,v,动词,150,0.0016,85.88120000000059
7145,外表,n,名词,150,0.0016,85.8748000000006
7146,摸索,v,动词,150,0.0016,85.88280000000059
7147,反过来,d,副词,150,0.0016,85.88440000000058
7148,手势,n,名词,150,0.0016,85.88600000000058
7149,散发,v,动词,150,0.0016,85.89560000000056
7150,大寨,ns,地名,150,0.0016,85.88920000000057
7151,照样,v,动词,150,0.0016,85.89080000000057
7152,耕作,v,动词,150,0.0016,85.89240000000056
7153,发动机,n,名词,150,0.0016,85.89400000000056
7154,王朝,nt,时间名词,150,0.0016,85.88760000000057
7155,田里,nl,处所名词,150,0.0016,85.87160000000061
7156,百分,n,名词,150,0.0016,85.87000000000062
7157,正规,a,形容词,150,0.0016,85.8764000000006
7158,重重,a,形容词,150,0.0016,85.85080000000066
7159,撑,v,动词,150,0.0016,85.86040000000064
7160,发电机,n,名词,150,0.0016,85.85560000000065
7161,觉悟,n,名词,150,0.0016,85.85720000000065
7162,毁,v,动词,150,0.0016,85.85880000000064
7163,闪光,v,动词,150,0.0016,85.85400000000065
7164,尤为,d,副词,150,0.0016,85.86200000000063
7165,散步,v,动词,150,0.0016,85.86360000000063
7166,澳门,ns,地名,150,0.0016,85.86520000000063
7167,身心,n,名词,150,0.0016,85.86680000000062
7168,空虚,a,形容词,150,0.0016,85.87320000000061
7169,湖泊,n,名词,150,0.0016,85.86840000000062
7170,卧,v,动词,150,0.0016,85.85240000000066
7171,嫩,a,形容词,149,0.0016,85.95640000000041
7172,瞬间,nt,时间名词,149,0.0016,85.93400000000047
7173,平凡,a,形容词,149,0.0016,85.93560000000046
7174,摧毁,v,动词,149,0.0016,85.9596000000004
7175,劳动日,n,名词,149,0.0016,85.93880000000046
7176,粘,a,形容词,149,0.0016,85.93080000000047
7177,主,a,形容词,149,0.0016,85.94040000000045
7178,经济危机,i,习用语,149,0.0016,85.94200000000045
7179,人影,n,名词,149,0.0016,85.94360000000044
7180,粉末,n,名词,149,0.0016,85.94520000000044
7181,消毒,v,动词,149,0.0016,85.95800000000041
7182,好吃,a,形容词,149,0.0016,85.94680000000044
7183,首领,n,名词,149,0.0016,85.94840000000043
7184,熬,v,动词,149,0.0016,85.95000000000043
7185,月初,nt,时间名词,149,0.0016,85.95320000000042
7186,屠杀,v,动词,149,0.0016,85.92600000000049
7187,反帝,v,动词,149,0.0016,85.95480000000042
7188,老伴,n,名词,149,0.0016,85.93240000000047
7189,瑞士,ns,地名,149,0.0016,85.95160000000043
7190,下旬,nt,时间名词,149,0.0016,85.93720000000046
7191,五千,m,数词,149,0.0016,85.92760000000048
7192,男性,n,名词,149,0.0016,85.90680000000053
7193,改正,v,动词,149,0.0016,85.90840000000053
