#现代汉语语料库汉字频率表,,,,
#语料规模:2000万字,,,,
#只列入出现次数大于5次的字,,,,
#下载自www.cncorpus.org语料库在线网站,,,,
,,,,
,,,,
id,汉字,出现次数,频率（%）,累积频率（%）
479,标,6974,0.0449,75.78969999999994
480,早,6958,0.0447,75.83439999999995
481,吧,6948,0.0447,75.87909999999995
482,周,6869,0.0442,75.92329999999995
483,速,6862,0.0441,75.96739999999996
484,跟,6815,0.0438,76.01119999999996
485,七,6778,0.0436,76.05479999999996
486,采,6764,0.0435,76.09829999999995
487,状,6732,0.0433,76.14159999999995
488,吗,6700,0.0431,76.18469999999995
489,约,6695,0.0431,76.22779999999995
490,城,6688,0.043,76.27079999999995
491,层,6686,0.043,76.31379999999996
492,专,6666,0.0429,76.35669999999996
493,划,6659,0.0428,76.39949999999996
494,轻,6657,0.0428,76.44229999999996
495,拉,6586,0.0424,76.48469999999996
496,值,6584,0.0423,76.52699999999996
497,适,6576,0.0423,76.56929999999996
498,英,6572,0.0423,76.61159999999995
499,告,6514,0.0419,76.65349999999995
500,讲,6508,0.0419,76.69539999999995
501,维,6485,0.0417,76.73709999999996
502,营,6483,0.0417,76.77879999999996
503,士,6467,0.0416,76.82039999999996
504,环,6441,0.0414,76.86179999999996
505,古,6441,0.0414,76.90319999999996
506,让,6433,0.0414,76.94459999999995
507,院,6433,0.0414,76.98599999999995
508,按,6396,0.0411,77.02709999999995
509,型,6395,0.0411,77.06819999999995
510,势,6389,0.0411,77.15039999999995
511,足,6389,0.0411,77.10929999999995
512,毛,6377,0.041,77.19139999999994
513,台,6366,0.0409,77.23229999999994
514,紧,6340,0.0408,77.27309999999994
515,片,6336,0.0407,77.31379999999994
516,属,6315,0.0406,77.35439999999994
517,严,6313,0.0406,77.39499999999994
518,树,6299,0.0405,77.43549999999993
519,画,6292,0.0405,77.47599999999993
520,厂,6270,0.0403,77.51629999999993
521,功,6261,0.0403,77.55659999999993
522,注,6254,0.0402,77.59679999999993
523,演,6244,0.0402,77.63699999999993
524,源,6237,0.0401,77.67709999999992
525,温,6229,0.0401,77.71719999999992
526,某,6227,0.04,77.75719999999993
527,找,6199,0.0399,77.79709999999993
528,参,6195,0.0398,77.83689999999993
529,易,6193,0.0398,77.87669999999993
530,飞,6183,0.0398,77.91649999999993
531,推,6177,0.0397,77.95619999999992
532,围,6173,0.0397,77.99589999999992
533,列,6167,0.0397,78.03559999999992
534,客,6163,0.0396,78.07519999999991
535,河,6132,0.0394,78.11459999999991
536,虽,6120,0.0394,78.15399999999991
537,境,6114,0.0393,78.19329999999991
538,食,6111,0.0393,78.2325999999999
539,李,6108,0.0393,78.2718999999999
540,尔,6073,0.0391,78.31099999999991
541,黄,6064,0.039,78.34999999999991
542,黑,6053,0.0389,78.38889999999991
543,念,6008,0.0386,78.42749999999991
544,越,5995,0.0386,78.46609999999991
545,选,5981,0.0385,78.50459999999991
546,华,5977,0.0384,78.5429999999999
547,角,5970,0.0384,78.5813999999999
548,考,5958,0.0383,78.61969999999991
549,致,5953,0.0383,78.65799999999992
550,夫,5911,0.038,78.69599999999991
551,初,5910,0.038,78.73399999999991
552,装,5895,0.0379,78.7718999999999
553,议,5883,0.0378,78.8096999999999
554,首,5883,0.0378,78.84749999999991
555,委,5882,0.0378,78.88529999999992
556,底,5881,0.0378,78.92309999999992
557,另,5876,0.0378,78.96089999999992
558,江,5866,0.0377,78.99859999999993
559,息,5853,0.0376,79.03619999999992
560,密,5812,0.0374,79.11099999999993
561,压,5812,0.0374,79.07359999999993
562,孩,5770,0.0371,79.14809999999993
563,村,5759,0.037,79.18509999999993
564,费,5720,0.0368,79.22189999999993
565,局,5703,0.0367,79.25859999999993
566,派,5640,0.0363,79.29489999999993
567,房,5637,0.0363,79.33119999999992
568,星,5628,0.0362,79.36739999999992
569,突,5613,0.0361,79.40349999999992
570,供,5592,0.036,79.43949999999992
571,曾,5574,0.0358,79.47529999999992
572,排,5560,0.0358,79.51109999999991
573,苦,5558,0.0357,79.54679999999992
574,够,5557,0.0357,79.58249999999992
575,像,5554,0.0357,79.61819999999993
576,站,5535,0.0356,79.65379999999993
577,校,5501,0.0354,79.68919999999993
578,富,5457,0.0351,79.72429999999993
579,谈,5453,0.0351,79.75939999999993
580,米,5444,0.035,79.79439999999992
581,充,5413,0.0348,79.82919999999993
582,阳,5408,0.0348,79.86399999999993
583,破,5401,0.0347,79.89869999999993
584,母,5399,0.0347,79.93339999999993
585,球,5386,0.0346,79.96799999999993
586,射,5358,0.0345,80.00249999999993
587,批,5350,0.0344,80.03689999999993
588,配,5349,0.0344,80.07129999999994
589,纪,5343,0.0344,80.10569999999994
590,未,5339,0.0343,80.13999999999994
591,哪,5316,0.0342,80.17419999999994
592,妈,5307,0.0341,80.20829999999994
593,差,5289,0.034,80.24229999999994
594,刚,5285,0.034,80.27629999999995
595,率,5278,0.0339,80.31019999999995
596,察,5267,0.0339,80.34409999999995
597,舞,5261,0.0338,80.37789999999995
598,依,5256,0.0338,80.41169999999995
599,占,5244,0.0337,80.44539999999995
600,呀,5232,0.0336,80.47899999999996
601,微,5219,0.0336,80.51259999999996
602,础,5209,0.0335,80.54609999999997
603,益,5209,0.0335,80.57959999999997
604,倒,5208,0.0335,80.64659999999998
605,刻,5208,0.0335,80.61309999999997
606,举,5194,0.0334,80.67999999999998
607,血,5170,0.0332,80.71319999999997
608,故,5136,0.033,80.74619999999997
609,互,5129,0.033,80.77919999999997
610,范,5127,0.033,80.81219999999998
611,木,5125,0.033,80.84519999999998
612,号,5083,0.0327,80.87789999999998
613,尽,5068,0.0326,80.91049999999998
614,请,5058,0.0325,80.94299999999998
615,脸,5046,0.0325,80.97549999999998
616,兵,5029,0.0323,81.00779999999999
617,职,5021,0.0323,81.0401
618,留,5020,0.0323,81.0724
619,铁,5011,0.0322,81.1046
620,吸,5007,0.0322,81.13680000000001
621,钱,4985,0.0321,81.16890000000001
622,急,4972,0.032,81.2009
623,独,4971,0.032,81.2329
624,剧,4970,0.032,81.2649
625,查,4957,0.0319,81.29679999999999
626,皮,4954,0.0319,81.32869999999998
627,激,4952,0.0318,81.36049999999999
628,坐,4951,0.0318,81.39229999999999
629,乎,4940,0.0318,81.4241
630,固,4882,0.0314,81.4555
631,害,4873,0.0313,81.4868
632,夜,4867,0.0313,81.5181
633,续,4863,0.0313,81.5494
634,京,4860,0.0313,81.58070000000001
635,双,4858,0.0312,81.6119
636,拿,4855,0.0312,81.6431
637,府,4852,0.0312,81.6743
638,限,4850,0.0312,81.7055
639,草,4835,0.0311,81.7366
640,项,4832,0.0311,81.76769999999999
641,述,4795,0.0308,81.79849999999999
642,曲,4790,0.0308,81.82929999999999
643,既,4754,0.0306,81.8599
644,春,4752,0.0306,81.8905
645,官,4740,0.0305,81.921
646,坚,4734,0.0304,81.9514
647,令,4719,0.0303,81.9817
648,句,4716,0.0303,82.012
649,助,4700,0.0302,82.0422
650,简,4675,0.0301,82.0723
651,杂,4669,0.03,82.1023
652,材,4664,0.03,82.1323
653,封,4653,0.0299,82.1622
654,护,4649,0.0299,82.1921
655,司,4643,0.0299,82.222
656,省,4636,0.0298,82.25179999999999
657,县,4630,0.0298,82.28159999999998
658,模,4626,0.0298,82.31139999999998
659,试,4623,0.0297,82.34109999999998
660,绝,4603,0.0296,82.37069999999999
661,洋,4600,0.0296,82.40029999999999
662,谁,4592,0.0295,82.42979999999999
663,继,4567,0.0294,82.45919999999998
664,止,4560,0.0293,82.48849999999999
665,喜,4550,0.0293,82.5178
666,优,4541,0.0292,82.547
667,词,4526,0.0291,82.5761
668,陈,4517,0.029,82.6051
669,鱼,4499,0.0289,82.63399999999999
670,终,4479,0.0288,82.66279999999999
671,施,4440,0.0286,82.69139999999999
672,晚,4427,0.0285,82.71989999999998
673,朝,4426,0.0285,82.74839999999998
674,含,4424,0.0285,82.77689999999997
675,仍,4423,0.0284,82.80529999999997
676,脑,4382,0.0282,82.83349999999997
677,甚,4377,0.0281,82.86159999999997
678,汉,4376,0.0281,82.88969999999996
679,修,4357,0.028,82.91769999999997
680,油,4329,0.0278,82.94549999999997
681,衣,4327,0.0278,82.97329999999997
